Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Association Prosperity for Development,Health,5,25,141,Tabuk,Southern,14,17,61,"Ministry of Environment, Water and Agriculture",Students,Capacity Building,2021,Pending,5925,47,35,8743,89,No
Society Hope Initiative,Health,22,2,22,Tabuk,Eastern,16,15,66,Ministry of Municipal and Rural Affairs,Youth,Training,1999,Accredited,5105,91,18,6510,95,Yes
Initiative Compassion Initiative,Educational,36,1,228,Dammam,Southern,14,17,100,Ministry of Economy and Planning,Disabled,Community Engagement,1994,Pending,3650,81,64,8788,81,Yes
Association Unity Group,Youth,37,27,205,Tabuk,Western,11,1,64,"Ministry of Environment, Water and Agriculture",Refugees,Community Engagement,1990,Accredited,3716,25,10,6466,93,Yes
Foundation Harmony Mission,Social Services,42,30,79,Medina,Central,20,9,91,Ministry of Communications and Information Technology,Students,Research,2001,Pending,4529,2,62,9197,83,No
Association Prosperity for Communities,Environmental,48,4,181,Hail,Northern,4,14,86,"Ministry of Environment, Water and Agriculture",Students,Advocacy,2011,Pending,8208,88,72,1253,93,No
Society Harmony for Youth,Cultural,48,26,196,Riyadh,Southern,18,18,88,Ministry of Health,Patients,Capacity Building,2011,Pending,9947,65,35,8077,66,Yes
Center Innovation Mission,Youth,12,9,240,Makkah,Northern,2,14,68,Ministry of Culture,Patients,Advocacy,1992,Pending,5463,54,78,5143,68,No
Center Growth for Youth,Cultural,27,19,220,Dammam,Northern,20,16,97,Ministry of Communications and Information Technology,Students,Relief,1992,Unaccredited,8542,97,57,3322,68,Yes
Society Prosperity Initiative,Educational,19,25,90,Taif,Southern,9,13,70,Ministry of Health,Elderly,Awareness,2012,Pending,4341,66,52,5160,70,No
Foundation Hope Group,Charitable,20,15,135,Dammam,Central,16,14,87,Ministry of Education,Families,Training,1999,Unaccredited,7307,59,92,8650,75,No
Initiative Growth Network,Social Services,35,6,258,Hail,Central,2,10,93,Ministry of Communications and Information Technology,Patients,Relief,2021,Pending,4519,73,94,4422,72,No
Initiative Unity for Communities,Environmental,9,6,67,Jeddah,Northern,9,8,100,Ministry of Culture,Patients,Capacity Building,2006,Unaccredited,2165,67,74,491,71,No
Foundation Growth for Development,Environmental,4,12,110,Tabuk,Western,3,6,68,Ministry of Culture,Patients,Relief,2019,Unaccredited,5656,43,98,9869,75,Yes
Initiative Compassion for Youth,Development,24,3,221,Najran,Central,16,14,65,Ministry of Culture,Orphans,Awareness,2022,Accredited,3496,99,83,7408,75,No
Initiative Hope Initiative,Health,40,26,22,Tabuk,Western,18,3,64,Ministry of Communications and Information Technology,Patients,Advocacy,2004,Accredited,3249,5,43,6862,72,Yes
Foundation Light Group,Health,46,24,83,Makkah,Northern,14,11,81,Ministry of Culture,Youth,Community Engagement,2020,Pending,5164,24,26,4283,75,Yes
Center Innovation for Communities,Health,22,22,143,Tabuk,Southern,12,7,97,Ministry of Education,Families,Capacity Building,2012,Unaccredited,3719,65,76,6363,89,Yes
Society Development Initiative,Charitable,32,30,176,Riyadh,Central,8,11,85,Ministry of Culture,Families,Awareness,1995,Pending,788,96,40,5848,74,No
Center Care for Change,Health,16,27,288,Najran,Eastern,14,17,72,Ministry of Municipal and Rural Affairs,Job Seekers,Community Engagement,2012,Accredited,6256,82,50,7357,61,Yes
Association Light Group,Cultural,24,14,216,Medina,Northern,20,20,94,Ministry of Health,Students,Research,2008,Unaccredited,8401,64,45,9279,67,No
Association Development for Communities,Technology,9,26,293,Riyadh,Northern,6,6,66,Ministry of Economy and Planning,Youth,Advocacy,2002,Unaccredited,467,4,58,677,96,No
Foundation Growth Initiative,Youth,14,3,62,Makkah,Northern,12,17,63,Ministry of Education,Disabled,Relief,1994,Unaccredited,6861,90,86,5844,92,No
Society Harmony Mission,Cultural,14,7,98,Tabuk,Southern,19,7,73,Ministry of Economy and Planning,Youth,Advocacy,1996,Unaccredited,2210,9,34,1507,67,No
Society Growth for Youth,Technology,10,30,66,Makkah,Northern,5,5,87,Ministry of Human Resources and Social Development,Refugees,Relief,2002,Unaccredited,7182,53,72,6228,74,No
Center Hope for Change,Social Services,33,22,251,Najran,Eastern,10,18,99,Ministry of Health,Students,Community Engagement,1992,Unaccredited,9723,22,14,2646,86,No
Association Light for Youth,Cultural,46,25,88,Hail,Northern,10,14,95,Ministry of Health,Orphans,Research,2006,Accredited,7825,84,20,4125,83,No
Society Harmony for Development,Charitable,11,24,230,Dammam,Western,20,13,80,"Ministry of Environment, Water and Agriculture",Refugees,Community Engagement,1992,Pending,3292,81,49,2154,92,No
Foundation Progress for Youth,Charitable,46,23,67,Tabuk,Eastern,13,5,70,Ministry of Municipal and Rural Affairs,Families,Relief,2002,Accredited,7609,59,69,3071,92,No
Initiative Progress Network,Technology,26,29,138,Taif,Southern,18,20,60,"Ministry of Environment, Water and Agriculture",Disabled,Advocacy,2022,Unaccredited,4432,97,71,8191,60,Yes
Association Hope Group,Youth,26,18,84,Hail,Western,10,14,95,Ministry of Human Resources and Social Development,Elderly,Capacity Building,1993,Pending,5294,84,53,7358,64,Yes
Society Progress for Youth,Youth,39,26,76,Hail,Northern,5,19,92,Ministry of Municipal and Rural Affairs,Orphans,Training,2017,Unaccredited,4181,75,61,1184,60,Yes
Society Harmony for Youth,Charitable,8,26,118,Taif,Eastern,17,12,80,Ministry of Human Resources and Social Development,Patients,Community Engagement,1999,Accredited,8488,77,11,8164,84,No
Foundation Care Group,Development,6,30,139,Dammam,Northern,6,19,92,Ministry of Municipal and Rural Affairs,Refugees,Research,2015,Pending,5851,100,10,6404,82,Yes
Society Hope Initiative,Educational,8,18,256,Riyadh,Western,4,14,67,Ministry of Economy and Planning,Orphans,Awareness,2009,Accredited,1251,14,43,2399,84,Yes
Association Development for Change,Health,39,7,244,Medina,Central,12,6,82,Ministry of Municipal and Rural Affairs,Elderly,Advocacy,2021,Pending,4175,84,52,3474,70,Yes
Center Empowerment for Communities,Social Services,5,2,101,Taif,Northern,12,16,88,"Ministry of Environment, Water and Agriculture",Patients,Awareness,2013,Pending,8006,17,99,7054,95,No
Initiative Growth for Communities,Youth,17,13,251,Tabuk,Southern,20,13,94,Ministry of Communications and Information Technology,Families,Awareness,1999,Unaccredited,1268,86,85,6779,90,No
Association Prosperity for Youth,Cultural,11,4,168,Tabuk,Western,17,20,90,Ministry of Communications and Information Technology,Disabled,Awareness,2002,Unaccredited,3178,77,15,2321,97,No
Society Unity Initiative,Charitable,48,19,238,Makkah,Central,6,2,86,Ministry of Culture,Youth,Advocacy,2018,Accredited,1311,48,94,3311,70,Yes
Association Progress for Communities,Social Services,7,7,247,Taif,Northern,19,3,79,Ministry of Human Resources and Social Development,Patients,Research,2015,Accredited,1138,85,49,7521,72,No
Association Progress Initiative,Youth,3,12,18,Medina,Central,10,2,76,Ministry of Human Resources and Social Development,Elderly,Relief,2014,Unaccredited,9842,78,49,8594,90,No
Society Compassion for Youth,Health,37,8,199,Jeddah,Southern,9,5,72,Ministry of Municipal and Rural Affairs,Job Seekers,Training,2006,Unaccredited,1967,5,51,2310,76,No
Foundation Prosperity Network,Environmental,2,24,131,Jeddah,Eastern,18,10,91,Ministry of Municipal and Rural Affairs,Disabled,Capacity Building,2007,Unaccredited,6916,53,68,9008,98,Yes
Association Progress Mission,Health,34,18,174,Taif,Western,12,0,60,Ministry of Health,Disabled,Relief,2004,Unaccredited,1349,43,12,3494,77,Yes
Association Hope for Development,Charitable,23,22,185,Medina,Eastern,18,17,86,Ministry of Economy and Planning,Elderly,Community Engagement,1991,Pending,8969,24,51,1961,72,Yes
Association Prosperity for Youth,Health,16,25,47,Riyadh,Central,16,6,63,Ministry of Education,Families,Advocacy,1999,Unaccredited,529,74,90,2611,88,No
Center Prosperity Initiative,Youth,40,25,29,Tabuk,Northern,7,7,100,"Ministry of Environment, Water and Agriculture",Job Seekers,Advocacy,2009,Unaccredited,5576,79,11,5307,98,No
Foundation Hope Mission,Charitable,39,7,286,Abha,Northern,20,14,67,Ministry of Culture,Refugees,Research,1993,Accredited,3222,19,66,5817,60,Yes
Association Light Group,Health,50,15,92,Dammam,Northern,11,15,64,Ministry of Economy and Planning,Youth,Capacity Building,2021,Unaccredited,1847,35,58,7864,99,No
Initiative Empowerment for Communities,Educational,26,27,294,Taif,Northern,16,0,84,Ministry of Health,Patients,Training,1998,Pending,3346,99,1,3568,62,Yes
Foundation Unity Group,Charitable,32,19,262,Abha,Eastern,7,11,64,Ministry of Health,Students,Awareness,2008,Unaccredited,3377,19,28,4210,98,No
Association Light for Youth,Educational,36,21,286,Tabuk,Western,2,9,93,Ministry of Human Resources and Social Development,Refugees,Community Engagement,2007,Unaccredited,7362,89,41,4225,88,No
Center Harmony for Communities,Cultural,21,10,17,Dammam,Eastern,2,5,71,Ministry of Municipal and Rural Affairs,Orphans,Community Engagement,2007,Pending,7825,86,84,8460,83,No
Center Development for Communities,Environmental,5,28,68,Taif,Central,10,4,62,Ministry of Education,Job Seekers,Relief,2005,Unaccredited,4748,2,60,3761,81,No
Society Development for Development,Development,38,8,162,Najran,Western,8,3,94,Ministry of Health,Orphans,Training,2017,Pending,8225,37,49,8812,71,Yes
Society Unity for Change,Development,50,23,221,Dammam,Western,17,4,82,Ministry of Human Resources and Social Development,Youth,Training,2018,Unaccredited,493,54,40,7827,100,No
Society Compassion Group,Development,41,9,170,Medina,Western,14,19,75,Ministry of Education,Patients,Relief,2009,Pending,7331,5,1,5133,90,Yes
Society Development Network,Youth,40,22,20,Abha,Northern,9,0,86,Ministry of Health,Refugees,Research,2007,Accredited,4100,44,88,6001,74,Yes
Initiative Compassion for Development,Charitable,15,9,149,Medina,Western,4,14,95,Ministry of Economy and Planning,Youth,Awareness,2000,Accredited,5132,24,66,785,77,Yes
Foundation Progress for Development,Youth,36,8,215,Jeddah,Northern,8,8,80,Ministry of Education,Refugees,Capacity Building,1991,Accredited,243,41,82,7881,93,Yes
Foundation Hope Mission,Youth,6,6,293,Medina,Eastern,6,1,62,Ministry of Culture,Disabled,Advocacy,2003,Unaccredited,1054,19,87,7879,86,Yes
Initiative Progress Mission,Charitable,12,29,285,Riyadh,Eastern,7,2,89,"Ministry of Environment, Water and Agriculture",Refugees,Training,2021,Pending,5134,97,54,9413,75,Yes
Association Compassion Initiative,Cultural,8,18,135,Taif,Central,5,20,78,"Ministry of Environment, Water and Agriculture",Orphans,Community Engagement,1994,Pending,2995,53,74,212,64,No
Center Prosperity Initiative,Health,22,8,99,Riyadh,Northern,10,9,81,Ministry of Human Resources and Social Development,Job Seekers,Community Engagement,1999,Pending,2825,77,7,4347,94,No
Association Unity Network,Cultural,40,5,73,Dammam,Eastern,12,2,94,Ministry of Health,Refugees,Research,2010,Pending,9457,89,28,7687,84,No
Center Empowerment Network,Social Services,24,18,154,Tabuk,Southern,19,10,91,Ministry of Culture,Orphans,Community Engagement,2015,Pending,5785,52,21,9614,79,Yes
Association Prosperity for Communities,Educational,42,25,195,Taif,Northern,10,20,96,Ministry of Communications and Information Technology,Job Seekers,Research,2014,Accredited,6521,77,37,4309,100,Yes
Center Innovation for Communities,Technology,4,15,279,Riyadh,Central,4,6,64,Ministry of Health,Job Seekers,Relief,2013,Unaccredited,8564,53,30,4423,84,No
Foundation Hope Initiative,Social Services,37,29,169,Medina,Eastern,11,14,85,Ministry of Municipal and Rural Affairs,Youth,Advocacy,2014,Accredited,4890,2,61,3505,80,Yes
Foundation Hope Network,Cultural,37,14,209,Jeddah,Southern,9,15,91,"Ministry of Environment, Water and Agriculture",Families,Community Engagement,2004,Accredited,9400,19,75,1863,72,No
Foundation Hope Group,Charitable,10,11,198,Tabuk,Eastern,18,1,92,Ministry of Health,Students,Capacity Building,1990,Accredited,679,82,6,5055,79,Yes
Foundation Empowerment for Development,Health,42,10,154,Jeddah,Western,14,18,61,Ministry of Health,Families,Awareness,2000,Pending,1886,20,45,7174,83,Yes
Society Development for Youth,Health,14,5,299,Jeddah,Eastern,20,10,89,Ministry of Communications and Information Technology,Refugees,Capacity Building,2013,Pending,9176,57,90,2001,77,No
Foundation Innovation for Change,Development,34,10,122,Dammam,Northern,19,13,87,Ministry of Communications and Information Technology,Orphans,Relief,1997,Pending,5859,32,31,2252,92,Yes
Initiative Compassion Group,Health,33,25,108,Abha,Southern,11,16,63,Ministry of Municipal and Rural Affairs,Students,Training,2006,Unaccredited,3607,91,35,6134,82,No
Center Harmony for Communities,Development,15,5,266,Hail,Western,4,11,82,Ministry of Culture,Refugees,Advocacy,1990,Accredited,9734,24,81,577,64,No
Initiative Progress Network,Charitable,22,11,85,Medina,Western,9,13,95,Ministry of Municipal and Rural Affairs,Elderly,Training,2015,Unaccredited,9333,86,2,3543,79,No
Society Progress Network,Social Services,40,4,99,Makkah,Western,7,16,87,Ministry of Economy and Planning,Refugees,Relief,2008,Accredited,6325,87,73,8255,73,Yes
Initiative Empowerment Mission,Youth,47,4,281,Taif,Northern,14,5,95,Ministry of Human Resources and Social Development,Disabled,Awareness,1991,Unaccredited,7776,53,15,8918,100,No
Association Light for Development,Youth,6,26,121,Taif,Central,13,4,88,Ministry of Health,Disabled,Training,2016,Accredited,9846,31,39,6836,65,Yes
Association Progress Mission,Cultural,46,1,205,Dammam,Western,19,19,95,Ministry of Health,Students,Awareness,2019,Accredited,1935,81,56,4139,67,Yes
Society Unity for Change,Technology,50,23,219,Dammam,Central,4,0,92,"Ministry of Environment, Water and Agriculture",Refugees,Research,1993,Accredited,6193,27,33,6214,64,Yes
Society Innovation for Youth,Educational,3,13,268,Hail,Western,20,15,92,Ministry of Health,Youth,Research,1995,Accredited,9161,65,64,1323,88,No
Foundation Progress for Development,Social Services,6,28,299,Makkah,Western,9,6,94,Ministry of Communications and Information Technology,Youth,Relief,2016,Unaccredited,1007,2,38,1912,89,Yes
Association Light for Development,Educational,34,20,54,Dammam,Eastern,9,1,67,Ministry of Economy and Planning,Disabled,Advocacy,2015,Accredited,1645,93,65,3755,72,Yes
Center Development for Communities,Health,39,13,151,Hail,Central,14,10,76,Ministry of Culture,Students,Capacity Building,2002,Accredited,2423,85,83,905,81,No
Association Innovation for Youth,Development,33,13,250,Riyadh,Central,16,20,82,Ministry of Health,Disabled,Research,1995,Pending,186,76,14,2783,88,No
Center Compassion for Communities,Environmental,29,17,58,Tabuk,Eastern,2,3,61,Ministry of Municipal and Rural Affairs,Youth,Community Engagement,1993,Unaccredited,9642,92,42,6021,70,No
Foundation Innovation Group,Development,6,29,168,Makkah,Southern,18,2,64,Ministry of Education,Patients,Awareness,1996,Accredited,3093,45,94,2431,83,No
Center Empowerment Initiative,Environmental,21,12,180,Tabuk,Central,18,17,90,Ministry of Economy and Planning,Patients,Research,1996,Accredited,9079,3,48,6889,64,Yes
Association Progress Group,Youth,25,1,132,Taif,Western,9,19,78,Ministry of Economy and Planning,Students,Community Engagement,2000,Unaccredited,4450,27,48,4824,79,No
Foundation Light Network,Development,32,11,171,Makkah,Eastern,16,7,98,Ministry of Human Resources and Social Development,Patients,Relief,2010,Unaccredited,8702,41,15,6328,64,Yes
Initiative Compassion for Communities,Technology,11,29,236,Taif,Western,19,20,93,Ministry of Economy and Planning,Orphans,Relief,2000,Pending,2923,97,20,6477,86,Yes
Center Harmony for Change,Technology,19,27,132,Abha,Southern,12,20,65,Ministry of Human Resources and Social Development,Patients,Capacity Building,1991,Unaccredited,7871,37,84,451,63,No
Association Care for Communities,Development,7,2,290,Hail,Western,4,4,75,Ministry of Human Resources and Social Development,Patients,Relief,2007,Pending,9048,80,64,7778,90,Yes
Center Prosperity Network,Health,40,1,143,Jeddah,Eastern,4,4,93,Ministry of Human Resources and Social Development,Refugees,Capacity Building,2012,Unaccredited,1211,72,64,8854,98,Yes
Society Growth for Communities,Technology,29,17,81,Jeddah,Western,5,19,77,Ministry of Culture,Job Seekers,Training,1991,Accredited,2874,77,23,460,97,No
Association Hope Network,Technology,45,24,137,Makkah,Northern,8,0,99,Ministry of Health,Elderly,Research,2006,Unaccredited,2425,1,12,2183,60,Yes
Center Prosperity Mission,Technology,14,9,129,Makkah,Southern,20,19,95,Ministry of Economy and Planning,Disabled,Training,2020,Pending,5173,23,6,503,79,No
Foundation Light Mission,Environmental,50,27,172,Jeddah,Eastern,1,0,76,Ministry of Municipal and Rural Affairs,Orphans,Training,2008,Unaccredited,6631,66,53,1805,69,Yes
Initiative Care Network,Technology,7,15,96,Medina,Southern,11,20,90,Ministry of Municipal and Rural Affairs,Elderly,Research,1993,Unaccredited,7355,91,51,7982,85,No
Initiative Development for Communities,Educational,28,25,152,Najran,Central,9,20,69,Ministry of Municipal and Rural Affairs,Students,Community Engagement,2008,Accredited,9981,69,42,7596,60,Yes
Center Development Mission,Cultural,11,16,239,Medina,Central,5,7,61,Ministry of Communications and Information Technology,Job Seekers,Research,1991,Pending,1209,17,98,4630,98,Yes
Center Light Initiative,Environmental,18,7,180,Tabuk,Central,7,7,85,Ministry of Communications and Information Technology,Job Seekers,Advocacy,2009,Accredited,5756,22,50,5658,84,Yes
Association Unity Mission,Cultural,28,21,129,Najran,Western,5,15,90,Ministry of Education,Patients,Advocacy,2016,Unaccredited,7062,32,44,3937,72,No
Association Harmony for Development,Charitable,27,5,254,Medina,Southern,5,15,78,Ministry of Culture,Orphans,Community Engagement,2005,Unaccredited,1597,6,56,3950,62,Yes
Foundation Empowerment Group,Youth,14,3,36,Abha,Western,18,3,93,Ministry of Municipal and Rural Affairs,Orphans,Community Engagement,2000,Pending,812,80,66,8897,98,No
Society Growth Network,Development,45,7,168,Hail,Eastern,3,2,78,Ministry of Economy and Planning,Orphans,Training,2004,Unaccredited,915,46,57,4352,78,Yes
Initiative Unity for Change,Charitable,16,16,96,Tabuk,Eastern,20,1,65,Ministry of Health,Elderly,Capacity Building,2015,Unaccredited,1535,38,24,5450,76,No
Society Harmony for Development,Health,43,11,45,Dammam,Northern,7,9,89,Ministry of Culture,Refugees,Advocacy,2003,Pending,9748,63,66,332,86,No
Association Light Group,Educational,27,20,72,Medina,Northern,16,3,87,Ministry of Economy and Planning,Patients,Awareness,2015,Unaccredited,9672,44,91,2046,80,Yes
Foundation Light for Communities,Social Services,36,4,12,Dammam,Eastern,4,0,75,Ministry of Communications and Information Technology,Patients,Research,2013,Accredited,2503,12,31,6679,84,Yes
Foundation Compassion for Change,Social Services,35,22,106,Hail,Central,10,8,95,Ministry of Economy and Planning,Elderly,Community Engagement,2012,Pending,9738,35,45,7027,96,Yes
Initiative Innovation Network,Cultural,36,15,203,Medina,Southern,12,9,88,Ministry of Health,Youth,Awareness,1996,Accredited,7303,94,62,1309,94,Yes
Foundation Care for Change,Educational,10,27,219,Makkah,Eastern,7,3,65,Ministry of Health,Patients,Capacity Building,2022,Unaccredited,1860,11,62,650,64,No
Center Development for Development,Health,24,12,42,Makkah,Northern,16,5,96,Ministry of Economy and Planning,Youth,Awareness,1990,Pending,9850,33,60,781,100,Yes
Foundation Unity Mission,Technology,25,8,261,Dammam,Southern,2,7,62,Ministry of Education,Orphans,Training,2022,Unaccredited,7453,16,18,9372,92,No
Association Light for Change,Charitable,17,19,44,Jeddah,Central,6,20,60,Ministry of Education,Students,Capacity Building,2011,Accredited,9362,72,29,2115,77,No
Foundation Empowerment Network,Charitable,8,24,244,Jeddah,Northern,16,1,88,"Ministry of Environment, Water and Agriculture",Youth,Community Engagement,2013,Pending,5661,38,51,115,80,No
Association Unity for Development,Environmental,10,30,167,Medina,Southern,8,8,98,Ministry of Economy and Planning,Disabled,Awareness,2000,Unaccredited,4721,5,75,4301,95,Yes
Society Compassion Group,Health,9,22,136,Najran,Southern,15,4,84,Ministry of Municipal and Rural Affairs,Orphans,Training,2012,Pending,1547,4,78,6426,75,No
Initiative Unity for Development,Educational,32,30,243,Jeddah,Northern,17,18,68,Ministry of Education,Refugees,Awareness,1996,Pending,3817,25,97,3440,71,No
Society Light for Communities,Cultural,2,30,207,Hail,Southern,15,0,71,"Ministry of Environment, Water and Agriculture",Refugees,Community Engagement,1999,Unaccredited,2856,75,80,9323,73,Yes
Foundation Hope for Development,Development,16,28,41,Riyadh,Eastern,20,4,85,Ministry of Municipal and Rural Affairs,Orphans,Advocacy,2013,Pending,6604,29,19,473,93,No
Society Compassion Initiative,Youth,38,26,27,Jeddah,Eastern,15,6,71,Ministry of Municipal and Rural Affairs,Patients,Advocacy,1991,Accredited,1504,65,65,5636,75,No
Association Harmony Group,Social Services,48,18,140,Hail,Eastern,8,16,68,Ministry of Culture,Students,Awareness,2012,Accredited,4832,91,13,2525,96,No
Society Light Group,Social Services,23,30,288,Jeddah,Central,9,10,94,Ministry of Health,Elderly,Relief,2021,Pending,9219,76,25,100,60,Yes
Association Light Network,Development,48,26,53,Medina,Southern,7,11,72,Ministry of Human Resources and Social Development,Families,Training,1991,Accredited,535,5,35,9408,87,No
Society Progress for Change,Development,20,4,122,Jeddah,Northern,16,17,69,Ministry of Municipal and Rural Affairs,Refugees,Community Engagement,2007,Unaccredited,8269,63,98,5531,74,No
Initiative Harmony for Youth,Youth,38,21,103,Dammam,Southern,20,0,96,Ministry of Economy and Planning,Orphans,Training,1990,Pending,4090,67,6,8936,74,Yes
Society Empowerment Initiative,Cultural,4,11,108,Dammam,Eastern,5,17,78,Ministry of Municipal and Rural Affairs,Orphans,Awareness,2014,Accredited,4603,38,10,7903,95,Yes
Association Progress for Youth,Social Services,8,24,144,Taif,Western,10,2,99,Ministry of Education,Students,Capacity Building,1999,Unaccredited,4070,54,42,5617,61,No
Association Growth for Development,Environmental,23,18,178,Tabuk,Northern,5,10,89,Ministry of Education,Elderly,Relief,2010,Unaccredited,957,12,88,9891,93,No
Center Care for Development,Environmental,39,29,28,Hail,Central,17,19,74,Ministry of Economy and Planning,Job Seekers,Advocacy,2020,Unaccredited,7587,78,48,365,98,No
Center Innovation for Change,Social Services,41,28,213,Dammam,Western,7,3,81,"Ministry of Environment, Water and Agriculture",Elderly,Training,2007,Unaccredited,6913,14,89,5592,84,No
Center Harmony for Change,Youth,50,18,250,Dammam,Northern,4,13,71,Ministry of Education,Refugees,Capacity Building,2002,Accredited,5622,8,22,7713,84,No
Foundation Innovation Mission,Youth,37,2,13,Tabuk,Southern,11,14,85,Ministry of Municipal and Rural Affairs,Youth,Capacity Building,1992,Unaccredited,8808,35,83,7591,90,Yes
Foundation Care Network,Development,18,16,193,Dammam,Western,1,11,85,Ministry of Municipal and Rural Affairs,Families,Training,1997,Unaccredited,3255,16,8,399,77,No
Foundation Harmony for Change,Health,32,7,265,Abha,Central,15,18,69,Ministry of Municipal and Rural Affairs,Elderly,Training,2006,Unaccredited,7988,51,11,6570,64,No
Association Innovation Initiative,Social Services,24,17,77,Makkah,Western,2,17,89,Ministry of Economy and Planning,Youth,Training,1999,Accredited,7576,6,61,8790,72,Yes
Initiative Unity Mission,Health,36,5,119,Riyadh,Western,16,12,91,Ministry of Communications and Information Technology,Elderly,Community Engagement,2009,Accredited,5603,55,63,6604,85,No
Center Harmony for Communities,Charitable,26,4,152,Tabuk,Western,10,6,67,Ministry of Human Resources and Social Development,Orphans,Advocacy,2013,Accredited,6857,63,98,5752,98,Yes
Center Growth for Development,Health,15,3,161,Hail,Northern,8,0,82,Ministry of Human Resources and Social Development,Disabled,Awareness,1991,Accredited,330,48,93,3997,79,Yes
Initiative Compassion Initiative,Cultural,30,6,231,Hail,Western,14,8,96,Ministry of Communications and Information Technology,Job Seekers,Awareness,2004,Unaccredited,1935,27,58,7275,66,No
Association Harmony for Youth,Youth,26,20,19,Riyadh,Western,16,9,92,Ministry of Education,Patients,Capacity Building,1997,Unaccredited,8930,58,40,3263,63,Yes
Center Compassion Group,Development,14,23,194,Taif,Northern,16,11,77,Ministry of Health,Orphans,Relief,1991,Accredited,1033,89,82,4155,100,No
Association Progress for Youth,Cultural,40,29,114,Riyadh,Central,13,20,73,Ministry of Municipal and Rural Affairs,Job Seekers,Relief,1995,Unaccredited,8665,78,63,2524,84,Yes
Foundation Light Network,Educational,33,8,76,Medina,Western,18,8,88,Ministry of Economy and Planning,Youth,Capacity Building,2016,Unaccredited,7425,10,29,7841,76,No
Society Light for Change,Youth,32,4,296,Hail,Western,1,5,85,Ministry of Education,Students,Research,1995,Accredited,1869,41,64,2613,60,Yes
Initiative Unity for Change,Cultural,44,3,137,Dammam,Eastern,4,3,87,Ministry of Culture,Job Seekers,Community Engagement,1997,Accredited,8059,2,5,5525,83,No
Center Light Initiative,Environmental,37,20,237,Makkah,Central,16,10,65,Ministry of Communications and Information Technology,Patients,Training,2015,Pending,6911,73,19,2064,84,No
Association Development for Change,Youth,40,18,236,Jeddah,Western,9,4,88,Ministry of Human Resources and Social Development,Orphans,Relief,1993,Unaccredited,4917,48,56,3410,62,Yes
Foundation Growth Group,Development,8,18,208,Jeddah,Western,20,15,88,Ministry of Communications and Information Technology,Families,Training,2022,Accredited,7667,17,84,451,64,Yes
Initiative Growth Mission,Cultural,39,8,296,Dammam,Southern,13,16,82,Ministry of Communications and Information Technology,Disabled,Awareness,2017,Unaccredited,9315,47,71,1248,91,No
Association Growth Mission,Educational,43,11,179,Dammam,Northern,9,3,77,"Ministry of Environment, Water and Agriculture",Students,Capacity Building,2009,Accredited,4145,24,27,1959,60,No
Initiative Progress for Communities,Social Services,44,23,134,Taif,Western,15,13,60,Ministry of Education,Elderly,Research,2014,Unaccredited,7455,97,80,2601,98,Yes
Initiative Prosperity for Development,Charitable,30,15,101,Medina,Western,20,9,79,Ministry of Education,Elderly,Training,1994,Pending,9790,57,56,4814,71,No
Initiative Prosperity for Communities,Charitable,8,24,43,Tabuk,Eastern,18,6,73,Ministry of Communications and Information Technology,Job Seekers,Advocacy,2009,Pending,9728,79,81,363,98,Yes
Association Hope for Communities,Cultural,46,5,34,Makkah,Eastern,5,11,67,Ministry of Human Resources and Social Development,Students,Training,2012,Unaccredited,9677,21,19,6341,87,No
Foundation Innovation Group,Educational,20,19,105,Makkah,Eastern,20,18,94,Ministry of Economy and Planning,Orphans,Advocacy,1999,Pending,5487,6,90,4591,91,No
Association Light Group,Charitable,16,18,188,Najran,Eastern,3,16,89,Ministry of Economy and Planning,Students,Capacity Building,2007,Accredited,2407,66,48,5990,65,Yes
Association Progress for Communities,Youth,41,1,75,Dammam,Southern,12,9,94,"Ministry of Environment, Water and Agriculture",Orphans,Community Engagement,2015,Unaccredited,2676,22,47,5635,78,Yes
Society Light Mission,Charitable,14,21,211,Dammam,Central,11,3,68,Ministry of Human Resources and Social Development,Elderly,Capacity Building,1992,Accredited,8082,37,80,6894,65,Yes
Initiative Light Initiative,Development,32,22,192,Riyadh,Western,17,4,79,Ministry of Education,Orphans,Awareness,2000,Accredited,8377,8,7,874,97,Yes
Initiative Progress for Change,Charitable,16,7,41,Jeddah,Eastern,19,20,74,Ministry of Human Resources and Social Development,Families,Training,2009,Accredited,2956,92,8,3043,77,Yes
Initiative Innovation Initiative,Youth,40,8,209,Makkah,Northern,7,0,70,"Ministry of Environment, Water and Agriculture",Youth,Capacity Building,2001,Accredited,1115,44,51,7154,85,Yes
Association Development for Communities,Cultural,45,17,210,Makkah,Southern,13,5,79,Ministry of Culture,Patients,Capacity Building,2021,Pending,867,83,64,6609,77,No
Society Light for Communities,Development,27,16,239,Jeddah,Western,16,3,98,Ministry of Culture,Students,Training,2015,Unaccredited,6509,82,69,8835,92,Yes
Association Compassion for Youth,Environmental,36,24,292,Jeddah,Western,2,15,72,Ministry of Culture,Youth,Capacity Building,1995,Pending,7127,95,82,1466,60,No
